央视频道,#genre#
东南卫视,http://223.78.65.165:9901/tsfile/live/0137_1.m3u8?key=txiptv
广西卫视,http://175.10.171.199:9901/tsfile/live/1017_1.m3u8?key=txiptv
河南卫视,http://223.78.65.165:9901/tsfile/live/0139_1.m3u8?key=txiptv
贵州卫视,http://223.78.65.165:9901/tsfile/live/0120_1.m3u8?key=txiptv
青海卫视,http://175.10.171.199:9901/tsfile/live/0140_1.m3u8?key=txiptv
南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC影迷电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8

港台频道,#genre#
翡翠台,https://t.freetv.fun/live/fei-cui-tai.m3u8
TVBPlus,https://t.freetv.fun/live/tvb-plus-3.m3u8



中天新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=260
三立iNEWS,https://ha.msbot.dpdns.org/4gtv_api.php?id=229
東森新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=234
東森財經新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=211
民視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=31
民視綜藝,https://ha.msbot.dpdns.org/4gtv_api.php?id=16
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
中視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=258
中視,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
華視新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=256
華視,https://ha.msbot.dpdns.org/4gtv_api.php?id=6
寰宇新聞台,https://ha.msbot.dpdns.org/4gtv_api.php?id=262
寰宇新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=280
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183
TVBS精采,https://ha.msbot.dpdns.org/4gtv_api.php?id=227
TVBS新聞,https://ha.msbot.dpdns.org/4gtv_api.php?id=473
TVBS歡樂,https://ha.msbot.dpdns.org/4gtv_api.php?id=184

